60
0.00 58.61 35.00 51.96 50.31 50.79 50.67 108.57 110.52 76.28 85.25 75.79 82.65 22.83 60.93 102.41 96.09 95.25 148.92 103.72 24.01 78.03 111.61 114.19 45.48 35.34 143.40 101.51 171.43 144.80 160.00 137.84 178.19 137.70 172.98 141.89 134.37 71.12 95.64 101.92 180.10 189.42 134.57 139.52 89.25 93.37 109.38 108.43 104.04 116.81 93.04 97.86 136.63 20.87 26.89 87.00 89.93 102.23 103.27 108.42
58.61 0.00 23.73 6.98 14.31 8.87 8.89 52.13 64.71 59.28 72.72 58.47 69.07 37.57 85.30 74.22 76.27 76.04 107.48 77.11 74.68 24.89 53.00 55.77 16.45 27.41 85.18 66.33 120.32 86.95 102.49 79.98 130.21 96.25 118.42 88.39 82.04 26.86 68.88 75.02 128.64 145.65 77.74 81.36 72.11 45.56 58.83 50.84 46.77 80.86 71.66 39.65 78.75 39.77 49.40 28.39 31.35 55.94 48.01 50.11
35.00 23.73 0.00 16.97 18.96 16.70 16.54 75.03 82.42 61.93 74.34 61.21 70.91 15.94 72.38 83.45 81.56 81.03 123.86 85.70 53.00 45.48 76.70 79.49 11.86 9.37 108.86 78.68 141.17 110.52 125.96 103.54 149.74 112.47 140.74 110.13 103.20 41.75 77.13 83.65 149.68 163.44 100.91 105.02 75.88 63.77 78.84 74.26 70.03 94.11 77.44 62.87 102.32 16.38 28.99 52.10 55.08 73.67 70.29 73.79
51.96 6.98 16.97 0.00 13.00 6.00 5.85 59.07 70.45 60.53 73.85 59.74 70.22 31.53 82.26 77.60 78.51 78.20 113.01 80.32 68.86 31.16 59.76 62.66 9.90 20.51 92.09 70.56 126.93 93.91 109.46 86.94 136.54 101.70 125.30 95.16 88.68 31.21 71.93 78.23 135.30 151.59 84.71 88.29 73.86 51.32 65.16 57.81 53.74 85.44 74.00 45.97 85.71 32.83 42.56 35.17 38.17 61.64 54.84 57.02
50.31 14.31 18.96 13.00 0.00 7.00 7.15 58.30 63.47 47.76 60.99 46.97 57.38 27.68 71.02 66.30 66.20 65.82 105.00 68.83 63.18 27.74 63.20 65.00 19.92 26.83 93.70 60.44 122.61 94.80 109.82 87.87 130.87 93.60 122.97 92.07 84.86 22.79 60.32 66.75 131.17 144.49 84.29 89.78 61.27 44.90 60.23 58.48 53.98 75.74 61.77 51.70 86.69 34.70 47.92 39.19 41.75 54.72 52.97 59.10
50.79 8.87 16.70 6.00 7.00 0.00 0.21 58.36 67.00 54.62 67.91 53.83 64.29 29.10 77.00 72.31 72.80 72.46 109.19 74.96 65.98 28.91 61.03 63.42 13.93 22.73 92.61 65.76 124.79 94.10 109.44 87.13 133.80 97.83 124.06 93.52 86.70 26.88 66.50 72.87 133.25 148.21 84.27 88.75 68.03 48.03 62.60 57.76 53.46 80.85 68.32 48.27 85.92 33.08 44.65 36.50 39.34 58.19 53.60 57.63
50.67 8.89 16.54 5.85 7.15 0.21 0.00 58.51 67.20 54.80 68.08 54.01 64.46 29.02 77.06 72.51 72.98 72.64 109.39 75.15 65.92 29.09 61.12 63.53 13.72 22.54 92.73 65.97 124.97 94.23 109.57 87.26 133.99 98.04 124.23 93.69 86.88 27.08 66.70 73.07 133.43 148.41 84.42 88.87 68.21 48.23 62.78 57.90 53.60 81.05 68.51 48.33 86.05 32.92 44.46 36.59 39.43 58.39 53.76 57.74
108.57 52.13 75.03 59.07 58.30 58.36 58.51 0.00 32.52 69.24 79.39 68.67 76.58 85.97 115.20 63.30 73.94 74.47 69.33 66.74 120.02 30.80 19.76 15.59 68.42 79.54 36.92 50.49 70.42 37.06 51.60 30.33 82.71 60.11 66.44 37.51 32.92 40.74 62.48 65.29 78.26 101.44 26.00 32.99 74.57 26.29 20.26 6.52 6.55 56.85 69.90 29.03 29.25 91.39 101.46 27.80 24.95 28.97 6.76 12.81
110.52 64.71 82.42 70.45 63.47 67.00 67.20 32.52 0.00 49.32 55.39 49.05 53.54 88.11 99.34 33.77 46.50 47.29 42.93 36.93 115.53 40.10 52.28 47.86 80.29 89.69 59.41 21.39 61.54 56.77 65.93 52.20 67.76 31.93 67.15 37.11 28.48 40.69 35.23 35.94 70.27 81.21 43.43 56.20 49.31 19.15 12.30 38.98 37.06 24.35 43.41 58.85 51.69 97.92 111.32 52.06 50.40 8.82 28.39 45.21
76.28 59.28 61.93 60.53 47.76 54.62 54.80 69.24 49.32 0.00 13.45 0.80 9.80 58.22 50.13 27.07 20.15 19.45 76.97 27.77 73.26 48.77 84.97 83.29 67.31 71.27 104.41 31.03 108.13 102.97 114.19 97.22 110.32 66.64 116.15 86.43 77.80 37.06 20.45 26.16 116.71 117.23 89.73 100.70 13.96 43.09 56.06 73.71 69.47 44.00 16.77 81.85 96.41 72.12 87.99 69.29 70.00 44.86 62.53 78.13
