10
0.00 22.85 100.30 119.29 109.54 101.25 109.25 117.06 112.53 87.89
22.85 0.00 77.60 96.60 86.85 78.65 86.65 95.74 89.85 69.27
100.30 77.60 0.00 19.00 9.25 2.94 9.49 29.90 12.26 42.46
119.29 96.60 19.00 0.00 9.75 18.21 10.44 26.54 6.77 53.90
109.54 86.85 9.25 9.75 0.00 8.70 3.03 26.67 3.05 47.42
101.25 78.65 2.94 18.21 8.70 0.00 8.00 27.00 11.47 40.52
109.25 86.65 9.49 10.44 3.03 8.00 0.00 23.78 4.09 44.90
117.06 95.74 29.90 26.54 26.67 27.00 23.78 0.00 25.72 35.91
112.53 89.85 12.26 6.77 3.05 11.47 4.09 25.72 0.00 48.89
87.89 69.27 42.46 53.90 47.42 40.52 44.90 35.91 48.89 0.00

