10
0.00 82.00 39.36 33.27 168.07 179.85 171.99 173.17 161.87 174.42
82.00 0.00 69.08 79.53 87.04 98.99 91.02 101.62 79.95 92.42
39.36 69.08 0.00 12.21 154.57 166.57 158.57 170.02 143.19 156.35
33.27 79.53 12.21 0.00 165.75 177.75 169.75 179.55 154.94 168.07
168.07 87.04 154.57 165.75 0.00 12.00 4.00 45.95 24.31 21.07
179.85 98.99 166.57 177.75 12.00 0.00 8.00 45.43 32.07 23.75
171.99 91.02 158.57 169.75 4.00 8.00 0.00 45.43 26.55 21.26
173.17 101.62 170.02 179.55 45.95 45.43 45.43 0.00 69.27 66.67
161.87 79.95 143.19 154.94 24.31 32.07 26.55 69.27 0.00 13.24
174.42 92.42 156.35 168.07 21.07 23.75 21.26 66.67 13.24 0.00

