70
0.00 16.47 16.04 16.95 76.41 35.06 37.07 12.01 69.24 69.69 26.46 31.42 43.15 64.08 81.63 82.34 80.07 96.76 100.42 96.71 61.60 93.73 80.93 97.48 103.86 95.95 99.91 18.78 17.94 18.62 19.85 19.46 93.77 105.31 111.70 106.88 15.49 53.64 56.04 80.28 55.38 83.34 89.91 60.12 83.12 97.25 98.68 114.74 103.49 107.09 85.74 85.32 10.98 74.99 75.37 91.49 103.02 99.91 102.75 29.24 10.72 33.12 93.27 85.07 105.54 71.20 69.23 84.74 65.61 67.12
16.47 0.00 31.85 32.16 87.74 51.35 22.77 7.70 70.78 78.91 42.85 47.76 59.53 65.96 78.79 78.71 75.60 98.56 100.46 105.56 77.59 106.46 78.27 90.81 105.56 97.95 101.75 34.11 34.28 34.75 35.58 35.32 97.33 100.98 119.59 112.42 15.10 70.11 71.85 94.20 71.44 93.60 100.14 76.10 94.15 109.45 105.19 121.77 110.05 113.37 93.47 91.69 7.94 84.95 77.51 88.88 101.14 94.01 97.50 12.77 20.23 46.38 103.76 95.51 114.51 80.12 78.43 95.02 75.44 76.70
16.04 31.85 0.00 2.59 73.66 19.76 53.12 25.58 77.33 70.05 15.04 16.38 28.07 72.11 81.09 82.55 81.18 103.80 108.84 96.59 45.75 88.36 91.75 100.20 98.25 90.25 94.25 15.59 9.91 11.88 14.61 13.80 86.64 105.52 100.30 97.64 30.24 39.34 40.07 73.20 39.60 70.34 76.84 44.26 80.55 92.62 88.70 104.04 93.37 97.16 74.92 75.76 24.78 74.17 82.73 90.38 100.88 101.80 103.93 44.41 22.07 19.01 91.16 83.26 105.06 59.67 57.50 71.70 53.41 55.10
16.95 32.16 2.59 0.00 76.10 20.25 53.88 25.51 79.78 72.62 17.02 17.12 28.58 74.56 78.66 80.16 78.86 106.32 111.29 99.13 45.55 90.59 94.00 97.98 95.66 87.66 91.66 18.18 12.46 14.45 17.18 16.37 84.06 103.12 97.97 95.14 31.70 40.12 39.72 75.29 39.50 68.21 74.74 44.05 82.99 94.91 86.25 101.65 90.93 94.71 72.52 73.27 24.79 76.69 85.22 87.91 98.36 99.51 101.59 44.53 23.93 16.96 93.61 85.74 107.58 57.33 55.17 69.58 51.14 52.80
76.41 87.74 73.66 76.10 0.00 66.94 93.92 87.44 50.89 15.00 60.10 66.35 65.00 49.26 154.75 156.17 154.64 59.15 69.47 25.84 76.67 21.28 71.79 173.14 169.38 161.48 165.43 59.37 63.93 62.07 59.53 60.28 156.38 179.17 160.52 163.45 73.34 59.95 77.28 21.59 73.35 128.19 133.52 76.29 6.89 22.42 153.47 166.06 157.54 161.54 138.81 142.28 86.39 9.03 49.24 164.00 174.24 175.10 177.44 97.66 67.95 85.89 17.57 10.31 32.90 123.50 121.10 129.21 116.40 118.30
35.06 51.35 19.76 20.25 66.94 0.00 71.71 45.32 83.69 67.45 12.64 3.74 8.34 78.68 91.84 93.97 93.48 107.85 114.52 92.00 26.90 77.69 101.03 113.41 102.69 94.85 98.77 23.78 19.27 20.10 21.51 21.07 89.48 116.30 95.84 96.93 47.15 20.00 21.94 61.08 20.58 63.88 69.90 25.45 73.66 82.68 87.13 100.74 91.40 95.37 72.55 75.49 44.51 69.81 87.95 100.24 109.35 114.24 115.67 64.02 37.80 19.95 84.33 77.17 99.73 57.03 54.64 65.08 49.99 51.88
37.07 22.77 53.12 53.88 93.92 71.71 0.00 30.46 63.86 82.26 61.45 68.00 79.51 59.97 93.65 92.76 88.89 90.24 89.76 107.03 98.50 114.38 65.22 100.75 123.69 116.44 120.05 50.86 53.06 52.92 52.85 52.86 116.91 113.45 141.31 133.02 25.66 89.08 93.06 104.79 92.23 116.16 122.68 97.03 99.57 116.33 126.37 143.09 131.21 134.37 115.28 112.93 30.70 89.10 70.85 103.59 116.22 104.83 108.99 15.30 35.11 68.97 107.91 99.89 115.87 102.40 100.81 117.58 97.97 99.18
12.01 7.70 25.58 25.51 87.44 45.32 30.46 0.00 75.00 79.76 38.04 41.86 53.62 70.02 74.22 74.47 71.71 102.81 105.37 106.69 71.05 105.29 83.99 88.02 99.51 91.79 95.64 30.77 29.68 30.52 31.86 31.44 90.74 97.12 112.18 105.41 18.25 64.63 65.17 92.14 65.00 85.93 92.47 69.55 94.04 108.64 97.98 114.49 102.84 106.21 86.05 84.48 1.06 85.43 81.54 84.26 96.29 90.85 94.05 19.10 19.65 38.92 103.99 95.75 115.59 72.53 70.82 87.35 67.77 69.06
69.24 70.78 77.33 79.78 50.89 83.69 63.86 75.00 0.00 35.94 71.57 80.95 86.96 5.22 149.21 149.34 146.35 27.82 31.52 50.32 105.29 71.05 21.32 161.28 173.10 165.19 169.15 62.72 68.87 67.04 64.54 65.27 162.78 171.74 177.33 174.85 56.75 88.95 102.88 71.00 99.82 146.42 152.73 104.28 52.97 70.02 166.02 181.30 170.70 174.48 152.21 153.01 74.25 42.26 7.00 159.26 171.27 164.67 168.25 74.68 58.58 95.73 56.57 50.67 58.07 136.86 134.63 147.71 130.38 132.13
69.69 78.91 70.05 72.62 15.00 67.45 82.26 79.76 35.94 0.00 58.30 66.05 67.36 34.27 150.37 151.44 149.48 47.09 56.76 27.02 82.01 35.84 56.97 167.17 167.88 159.90 163.89 54.73 60.15 58.17 55.46 56.26 155.56 174.50 163.03 164.26 63.97 64.88 81.48 35.44 77.76 130.81 136.54 81.38 18.32 35.89 154.54 168.11 158.85 162.81 139.99 142.64 78.75 7.14 34.68 159.95 170.80 169.54 172.25 87.67 60.13 84.80 25.65 17.73 35.86 124.45 122.06 131.94 117.43 119.32
