40
0.00 61.25 116.70 136.61 81.31 64.60 82.14 143.03 159.96 158.07 161.08 142.97 147.69 82.23 64.73 58.87 146.53 158.39 150.48 154.43 60.34 48.91 74.00 27.75 21.01 43.60 112.80 110.40 117.60 105.70 125.89 138.14 158.82 169.83 164.50 169.62 152.52 157.41 161.04 46.09
61.25 0.00 55.45 86.78 51.14 100.19 115.39 82.00 101.89 103.74 105.98 92.19 97.24 56.52 98.11 98.94 86.54 98.17 90.41 94.29 17.85 28.98 12.76 89.00 82.25 104.85 51.55 49.15 56.35 44.45 80.12 89.02 106.03 115.72 112.21 117.52 104.42 109.68 114.82 106.37
116.70 55.45 0.00 62.63 73.95 147.71 160.42 27.56 55.57 65.99 66.18 64.51 68.86 80.22 144.98 148.28 36.12 46.06 39.30 42.63 61.49 76.84 42.70 144.45 137.70 160.30 3.93 6.32 1.03 11.01 65.98 65.54 71.12 76.65 77.22 82.09 78.66 83.42 90.06 161.57
136.61 86.78 62.63 0.00 59.35 138.75 145.43 57.52 39.84 25.52 29.80 6.67 11.08 62.04 135.25 142.69 46.01 53.09 48.15 50.52 78.00 87.70 78.86 161.98 155.78 176.69 63.55 63.92 63.07 64.95 14.20 2.91 23.43 35.37 28.34 33.23 17.87 23.14 28.98 181.98
81.31 51.14 73.95 59.35 0.00 81.27 90.60 89.96 92.11 83.85 87.68 66.02 70.13 6.44 77.95 84.34 86.29 97.70 90.08 93.88 34.05 34.67 52.71 104.61 98.80 118.66 71.54 69.90 74.94 66.86 46.58 60.16 82.74 94.58 87.62 92.32 73.10 77.63 80.54 124.96
64.60 100.19 147.71 138.75 81.27 0.00 17.57 168.63 173.37 164.04 168.09 145.35 148.82 77.21 3.64 8.16 166.75 178.43 170.63 174.53 87.34 72.29 110.74 63.62 62.86 68.06 144.40 142.24 148.73 138.06 124.89 138.98 162.03 174.03 166.19 170.39 149.51 153.16 154.17 79.39
82.14 115.39 160.42 145.43 90.60 17.57 0.00 179.87 181.84 170.94 175.15 151.87 154.92 85.72 18.14 23.93 176.88 188.30 180.68 184.49 101.41 86.85 125.32 79.49 79.38 81.98 157.28 155.22 161.45 151.22 131.30 145.33 168.29 180.26 171.97 175.82 154.52 157.72 157.99 93.68
143.03 82.00 27.56 57.52 89.96 168.63 179.87 0.00 33.71 49.91 48.42 56.44 59.33 95.63 165.64 170.09 13.89 19.62 15.00 17.00 85.42 100.40 69.40 170.76 164.03 186.59 31.42 33.72 26.88 38.26 66.41 60.15 56.39 58.06 61.54 65.52 69.17 72.90 79.65 188.36
159.96 101.89 55.57 39.84 92.11 173.37 181.84 33.71 0.00 19.93 16.74 35.21 35.45 96.34 170.03 176.35 20.37 17.86 18.74 17.86 99.69 112.85 90.56 187.05 180.47 202.54 58.66 60.40 55.33 63.96 53.30 41.35 26.79 24.93 30.35 33.31 43.48 45.60 51.78 206.04
158.07 103.74 65.99 25.52 83.85 164.04 170.94 49.91 19.93 0.00 4.47 19.26 17.47 87.03 160.56 167.79 36.06 37.36 36.06 36.50 98.09 109.53 93.82 184.28 177.91 199.36 68.29 69.51 66.03 72.12 39.70 25.90 6.90 11.98 11.67 16.16 23.97 25.70 31.85 203.94
161.08 105.98 66.18 29.80 87.68 168.09 175.15 48.42 16.74 4.47 0.00 23.64 21.94 91.00 164.63 171.76 34.53 34.53 34.06 34.06 100.94 112.70 95.75 187.46 181.04 202.61 68.69 70.04 66.16 72.89 44.00 30.30 10.49 10.49 13.65 17.12 28.11 29.46 35.34 207.02
142.97 92.19 64.51 6.67 66.02 145.35 151.87 56.44 35.21 19.26 23.64 0.00 5.06 68.70 141.84 149.33 44.02 49.82 45.69 47.63 84.05 94.07 83.80 168.47 162.25 183.23 65.80 66.40 64.85 67.85 20.57 6.65 16.76 28.72 21.73 26.71 14.17 19.13 25.61 188.43
147.69 97.24 68.86 11.08 70.13 148.82 154.92 59.33 35.45 17.47 21.94 5.06 0.00 72.54 145.30 152.98 46.43 51.17 47.73 49.32 88.95 98.78 88.85 173.05 166.86 187.74 70.28 70.96 69.16 72.54 23.97 9.97 13.40 25.33 17.52 22.23 10.00 14.56 21.24 193.06
82.23 56.52 80.22 62.04 6.44 77.21 85.72 95.63 96.34 87.03 91.00 68.70 72.54 0.00 73.81 80.76 91.46 102.70 95.18 98.93 39.05 37.55 58.75 104.43 98.84 118.03 77.87 76.25 81.21 73.25 48.66 62.58 85.46 97.40 90.06 94.59 74.70 78.99 81.40 124.85
