100
0.00 43.31 13.98 4.01 5.75 7.40 9.90 26.25 15.35 38.93 51.32 42.28 58.75 61.74 54.27 59.25 74.39 65.98 55.96 59.26 66.88 54.98 84.46 69.70 60.79 63.18 38.42 37.62 62.15 62.15 62.15 17.06 47.93 16.74 45.42 30.94 31.14 20.71 79.42 51.05 30.05 37.63 45.25 95.02 108.57 72.92 64.27 103.33 105.76 100.42 108.43 75.09 63.58 67.69 74.18 80.43 80.31 76.05 91.44 60.40 89.49 70.43 91.16 87.55 51.34 17.41 74.40 93.19 104.91 62.90 70.46 54.71 53.97 53.97 56.15 34.94 18.18 46.45 48.31 50.46 45.15 84.06 93.53 54.38 59.18 49.05 56.25 17.76 110.58 24.41 9.88 13.87 60.42 71.68 41.48 17.98 73.53 65.88 66.33 40.38
43.31 0.00 56.85 45.85 48.10 50.68 53.19 61.44 58.35 71.59 80.84 50.52 51.00 30.48 11.91 17.63 43.07 23.23 29.47 35.88 42.24 27.30 122.99 112.21 95.81 93.03 68.63 6.03 105.39 105.39 105.39 50.41 32.13 48.27 59.75 50.52 12.16 27.10 36.36 67.72 55.69 63.27 71.18 56.28 68.68 110.69 100.68 61.18 63.05 57.12 71.66 48.03 22.03 29.29 46.49 120.88 120.84 119.16 58.97 41.13 55.79 52.75 48.31 45.49 92.33 59.45 31.11 52.90 62.81 47.63 33.05 23.46 15.95 15.95 21.16 59.05 52.30 24.34 28.31 32.07 21.35 47.95 52.09 56.08 51.22 44.52 90.99 26.77 67.28 19.87 50.95 54.60 17.45 28.49 84.01 34.87 114.87 97.94 105.37 81.85
13.98 56.85 0.00 11.00 8.75 6.83 4.81 26.18 1.59 37.93 50.63 51.44 69.88 72.51 68.05 72.17 84.56 79.13 69.56 72.52 75.86 68.68 71.19 58.08 49.22 53.79 31.19 51.31 48.59 48.58 48.59 22.39 60.93 17.03 44.88 31.56 44.75 32.11 92.63 56.33 35.13 41.00 47.24 108.97 122.54 60.01 52.02 116.00 118.68 113.91 122.27 88.33 77.48 79.70 87.50 70.73 66.55 63.44 105.01 68.59 103.18 82.63 104.94 101.45 41.99 4.29 87.83 105.26 117.55 75.04 84.43 68.59 66.39 66.39 67.95 31.95 22.30 60.07 61.69 63.60 58.92 97.93 105.98 57.21 64.46 60.33 51.85 30.45 124.09 37.39 6.82 5.80 73.69 85.01 27.50 26.69 63.15 55.40 53.07 31.11
4.01 45.85 11.00 0.00 2.25 5.50 7.85 27.91 12.51 40.59 53.18 46.08 62.75 62.58 57.07 61.29 74.98 68.19 59.72 63.13 66.95 58.68 80.68 68.21 56.80 59.19 34.52 40.32 59.58 59.56 59.58 19.79 51.87 13.43 42.55 28.16 33.75 21.66 81.68 54.25 33.03 40.33 47.71 98.42 111.89 69.07 60.33 105.23 107.82 102.91 112.01 78.96 66.56 69.17 78.03 79.74 76.76 74.09 95.19 60.14 93.19 74.44 93.96 90.54 50.67 13.94 76.84 94.73 106.79 66.90 73.86 58.28 55.68 55.68 57.50 31.52 20.64 50.20 52.16 54.37 48.82 87.61 95.29 52.38 57.92 53.05 57.15 19.54 113.10 26.45 5.96 9.98 62.72 74.04 38.36 17.48 72.56 61.86 62.57 39.65
5.75 48.10 8.75 2.25 0.00 3.73 5.84 27.21 10.26 39.81 52.48 47.02 64.12 64.58 59.32 63.51 76.91 70.43 61.70 65.01 68.72 60.70 78.71 66.11 55.15 57.96 33.57 42.57 57.33 57.32 57.33 19.86 53.66 13.53 42.81 28.54 36.00 23.76 83.92 54.50 33.17 40.22 47.41 100.57 114.07 67.17 58.56 107.43 110.04 105.16 114.10 80.84 68.79 71.31 79.93 77.85 74.66 71.90 97.18 61.81 95.21 76.05 96.20 92.77 48.82 11.78 79.09 96.87 108.99 68.50 76.01 60.37 57.86 57.86 59.62 31.30 20.52 52.18 54.06 56.21 50.86 89.71 97.47 53.22 59.15 54.44 55.93 21.77 115.35 28.68 4.25 8.15 64.96 76.28 36.13 19.21 70.60 60.44 60.58 37.80
7.40 50.68 6.83 5.50 3.73 0.00 2.51 23.92 8.07 36.42 49.13 45.75 63.61 68.07 61.67 66.45 80.47 73.26 62.73 65.71 72.39 61.84 77.95 62.79 55.39 59.07 35.30 45.01 54.75 54.75 54.75 17.53 54.17 16.73 45.95 31.83 38.52 27.12 86.72 52.17 30.79 37.49 44.44 102.22 115.82 66.68 58.45 110.47 112.98 107.79 115.45 81.53 70.98 74.55 80.69 74.25 73.38 68.84 98.18 65.51 96.34 76.06 98.56 94.94 45.18 10.75 81.75 100.10 112.04 68.48 77.68 61.78 60.98 60.98 62.91 34.00 17.92 53.23 54.87 56.81 52.10 91.12 100.59 56.75 62.84 53.99 52.26 24.76 117.95 31.58 6.01 8.84 67.72 79.01 34.20 22.89 67.06 61.15 59.82 34.17
9.90 53.19 4.81 7.85 5.84 2.51 0.00 23.27 5.81 35.55 48.30 46.85 65.11 70.40 64.17 68.95 82.75 75.77 64.91 67.78 74.53 64.07 75.97 60.36 53.94 58.12 34.86 47.52 52.25 52.25 52.25 18.07 56.17 17.76 46.71 32.82 41.03 29.51 89.23 52.45 31.11 37.44 44.10 104.57 118.20 64.82 56.81 112.96 115.48 110.30 117.72 83.58 73.45 77.00 82.76 72.02 71.20 66.35 100.33 67.56 98.55 77.82 101.05 97.41 43.00 9.02 84.27 102.55 114.53 70.23 80.04 64.09 63.46 63.46 65.34 34.38 18.20 55.43 56.99 58.84 54.36 93.42 103.07 58.05 64.49 55.54 50.80 27.25 120.46 34.08 6.64 8.34 70.24 81.52 31.84 25.02 64.76 59.95 57.86 31.98
26.25 61.44 26.18 27.91 27.21 23.92 23.27 0.00 25.77 12.70 25.28 32.33 53.07 85.38 70.10 78.92 98.45 84.59 62.15 62.77 92.01 62.10 88.90 53.92 72.01 78.71 57.31 55.42 54.87 54.97 54.87 11.22 51.06 40.64 69.86 55.72 50.19 45.49 97.29 31.53 12.75 15.60 21.08 103.81 117.80 79.47 73.49 122.56 124.12 116.47 114.63 77.52 77.62 89.27 77.15 59.78 81.56 62.93 95.48 86.03 94.60 67.97 105.39 100.51 32.37 29.87 91.45 114.09 124.19 60.67 80.36 63.84 75.16 75.16 78.48 57.65 9.37 53.73 53.64 54.02 53.92 91.49 113.53 80.29 85.43 44.77 30.66 41.31 126.27 46.47 29.77 31.41 78.77 89.30 42.23 44.15 54.52 79.36 71.61 23.60
15.35 58.35 1.59 12.51 10.26 8.07 5.81 25.77 0.00 37.27 49.93 51.88 70.56 74.10 69.51 73.73 86.14 80.67 70.72 73.58 77.41 69.86 70.22 56.49 48.72 53.68 31.54 52.79 47.07 47.05 47.07 22.67 61.95 18.39 45.89 32.75 46.24 33.70 94.17 56.27 35.18 40.80 46.85 110.28 123.88 59.16 51.35 117.58 120.25 115.42 123.50 89.37 78.91 81.29 88.57 69.22 65.39 61.86 106.14 70.11 104.35 83.47 106.40 102.88 40.52 4.14 89.36 106.85 119.13 75.87 85.74 69.84 67.97 67.97 69.54 32.82 22.45 61.24 62.79 64.64 60.14 99.18 107.57 58.45 65.85 61.04 50.77 32.00 125.61 38.93 8.39 7.02 75.22 86.54 26.14 28.28 61.60 55.09 52.12 29.68
38.93 71.59 37.93 40.59 39.81 36.42 35.55 12.70 37.27 0.00 12.75 33.57 53.99 97.00 79.23 89.21 110.16 94.41 67.95 67.39 104.16 68.27 94.39 50.41 80.61 88.59 68.59 65.66 56.43 56.58 56.43 23.05 56.32 53.15 82.27 68.25 60.97 57.78 106.67 25.80 16.68 12.26 12.03 109.35 123.31 86.09 81.32 132.22 133.42 124.89 118.84 80.97 85.89 100.13 80.86 52.35 85.89 60.60 99.10 98.40 98.73 69.54 113.21 107.88 28.65 41.23 100.59 124.48 133.87 62.79 86.93 70.72 86.04 86.04 89.70 69.78 21.40 60.46 59.61 59.22 61.20 96.72 123.57 92.97 98.10 47.22 19.41 53.40 134.44 58.12 42.15 43.44 88.61 98.69 48.72 56.78 48.63 88.54 78.01 23.87
