80
0.00 72.20 41.50 14.50 60.00 93.89 51.96 68.54 51.87 89.86 77.85 97.29 35.96 23.89 22.83 85.94 66.04 74.18 62.48 93.52 62.52 35.30 56.14 104.91 70.39 132.40 106.51 123.37 99.67 121.34 77.97 123.07 92.20 83.47 25.90 30.37 34.48 126.39 124.14 84.48 88.47 18.02 42.01 82.60 82.60 79.69 79.69 67.99 80.28 111.30 82.04 91.58 39.47 51.09 77.83 53.13 74.97 80.51 69.27 53.13 56.98 64.21 94.60 18.87 23.66 90.97 147.88 56.21 27.37 29.81 29.37 27.49 25.17 22.81 102.56 65.14 37.71 46.61 97.29 92.81
72.20 0.00 30.70 57.70 104.43 56.30 23.45 11.03 23.53 19.81 27.60 42.07 86.07 81.77 81.47 116.19 38.20 65.11 32.10 58.96 93.40 38.90 28.00 94.48 43.60 118.04 96.44 110.46 90.05 132.49 94.39 134.08 106.44 102.74 59.17 84.32 85.88 148.87 146.96 115.43 118.38 80.70 89.22 59.18 59.18 55.04 55.04 24.38 43.71 85.72 32.93 41.95 97.24 53.64 50.34 86.15 61.60 64.69 54.18 86.15 90.59 109.64 52.63 83.09 90.71 31.25 122.28 48.78 62.19 87.69 86.51 85.89 85.17 84.50 96.47 28.52 81.68 37.31 112.18 122.11
41.50 30.70 0.00 27.00 80.78 65.55 13.79 28.17 13.73 48.84 41.73 61.39 59.45 53.03 52.56 98.11 37.67 59.19 31.27 66.66 73.50 11.20 22.73 92.40 43.88 119.11 94.31 110.50 87.24 122.78 80.20 124.49 94.09 88.07 31.99 56.61 58.92 135.12 133.02 97.05 100.54 51.06 63.65 60.33 60.33 56.28 56.28 32.15 50.64 90.64 47.02 57.48 69.45 38.60 52.52 64.75 57.42 62.35 49.53 64.75 69.46 85.96 64.22 53.35 60.77 52.97 128.92 37.91 35.60 59.36 58.26 57.34 56.26 55.24 92.46 31.59 56.26 21.21 99.92 104.68
14.50 57.70 27.00 0.00 65.17 82.83 37.87 54.27 37.79 75.49 64.44 84.10 41.16 31.12 30.31 88.32 54.33 66.31 49.98 82.87 63.69 21.46 42.83 98.88 59.30 126.50 100.61 117.50 93.57 120.36 76.37 122.11 90.87 82.91 20.20 36.56 40.05 128.12 125.90 86.98 90.87 27.12 46.73 73.04 73.04 69.73 69.73 54.62 68.63 102.77 68.92 78.79 48.13 42.87 67.28 54.08 66.58 72.11 60.01 54.08 58.50 69.93 82.98 28.81 35.61 77.34 140.28 46.65 23.35 37.76 36.93 35.44 33.66 31.92 97.29 52.20 40.62 34.42 96.35 95.22
60.00 104.43 80.78 65.17 0.00 89.72 81.32 95.32 81.25 114.45 122.41 141.88 24.26 36.11 37.19 28.70 74.51 131.47 76.82 87.10 17.76 82.66 102.91 73.24 73.80 96.00 73.93 87.94 69.47 69.31 35.84 70.88 44.91 35.54 49.24 29.64 25.61 68.43 66.20 27.12 30.98 42.23 18.44 73.60 73.60 73.75 73.75 86.06 83.32 89.81 127.78 138.25 23.77 52.81 75.57 19.47 63.26 66.58 64.17 19.47 16.30 5.23 93.58 74.84 41.83 105.65 117.19 59.57 45.46 30.71 30.88 32.86 35.33 37.90 68.19 81.15 24.97 67.12 47.79 35.00
93.89 56.30 65.55 82.83 89.72 0.00 52.17 46.70 52.21 48.31 83.84 95.67 84.07 87.94 88.36 86.62 28.72 119.24 34.37 3.78 72.72 76.62 79.42 43.44 23.56 62.91 45.20 56.22 40.54 86.84 62.01 88.13 68.08 69.22 69.00 86.16 84.96 107.77 106.32 86.60 87.97 90.98 83.32 16.17 16.17 16.33 16.33 35.10 14.90 29.79 89.01 97.25 96.21 44.86 16.40 71.02 26.46 23.78 27.19 71.02 73.45 93.95 5.45 111.41 100.41 30.72 66.08 38.35 69.10 90.79 89.61 90.26 91.14 92.11 47.46 34.15 77.69 48.59 72.69 90.31
51.96 23.45 13.79 37.87 81.32 52.17 0.00 16.80 0.09 38.31 43.47 61.79 62.62 58.71 58.47 94.90 25.22 69.37 18.40 53.51 71.26 24.99 29.94 81.95 31.58 107.97 83.90 99.58 76.96 115.47 74.65 117.14 87.76 82.85 35.90 60.98 62.45 129.75 127.74 94.02 97.21 58.13 65.79 48.38 48.38 44.20 44.20 18.36 37.30 78.30 49.17 59.51 73.88 32.54 40.09 63.48 47.00 51.46 39.00 63.48 68.04 86.54 50.59 65.79 68.30 39.81 116.48 29.47 38.80 64.47 63.27 62.74 62.16 61.66 82.66 18.03 58.25 14.68 93.61 101.13
68.54 11.03 28.17 54.27 95.32 46.70 16.80 0.00 16.89 21.51 38.03 53.10 78.24 75.16 74.98 105.82 27.17 72.90 21.18 49.09 83.49 38.38 33.67 83.66 32.60 107.61 85.62 99.88 79.15 121.46 83.67 123.05 95.54 92.02 52.23 77.05 78.22 137.97 136.08 105.10 107.96 74.83 80.91 48.39 48.39 44.21 44.21 13.40 33.35 75.67 43.54 52.84 89.85 43.56 39.53 76.64 50.57 53.72 43.16 76.64 80.97 100.50 43.54 81.49 85.03 25.80 112.77 38.26 54.88 80.73 79.51 79.09 78.64 78.25 85.53 17.50 73.42 28.54 101.26 111.62
51.87 23.53 13.73 37.79 81.25 52.21 0.09 16.89 0.00 38.40 43.51 61.85 62.54 58.62 58.39 94.85 25.24 69.36 18.42 53.54 71.20 24.93 29.94 81.95 31.59 107.97 83.90 99.59 76.96 115.44 74.60 117.12 87.73 82.81 35.81 60.89 62.37 129.71 127.70 93.96 97.15 58.04 65.71 48.40 48.40 44.22 44.22 18.42 37.34 78.32 49.22 59.56 73.79 32.49 40.12 63.41 47.00 51.46 39.00 63.41 67.97 86.47 50.64 65.71 68.21 39.89 116.50 29.44 38.72 64.38 63.18 62.65 62.07 61.57 82.65 18.07 58.17 14.62 93.57 101.08
89.86 19.81 48.84 75.49 114.45 48.31 38.31 21.51 38.40 0.00 41.06 48.40 98.87 96.44 96.29 121.90 41.29 82.16 37.71 51.72 101.20 58.09 47.42 90.67 44.55 111.16 92.54 104.52 86.96 132.08 98.40 133.54 108.68 106.66 73.48 98.03 98.95 150.76 149.03 121.37 123.86 96.28 101.12 56.46 56.46 52.91 52.91 28.42 39.93 77.88 45.06 51.32 110.71 61.72 48.44 95.28 62.04 63.55 56.05 95.28 99.34 119.54 43.47 102.04 106.50 17.90 111.83 55.35 75.96 101.85 100.62 100.29 99.93 99.62 93.79 33.37 93.74 49.09 114.13 127.19
77.85 27.60 41.73 64.44 122.41 83.84 43.47 38.03 43.51 41.06 0.00 19.80 101.08 93.88 93.30 138.15 64.45 42.11 57.80 86.55 114.09 43.00 21.71 121.61 70.29 145.58 123.57 137.91 117.03 158.16 118.09 159.80 131.01 126.31 73.69 97.98 100.49 173.15 171.16 137.21 140.49 91.05 105.38 86.39 86.39 82.20 82.20 51.31 71.25 113.31 5.73 16.08 110.67 76.00 77.53 105.77 87.90 91.45 80.16 105.77 110.44 127.61 80.03 82.80 100.02 57.01 149.72 72.59 77.33 100.40 99.36 98.26 96.93 95.60 123.29 54.85 97.98 57.98 136.84 144.47
97.29 42.07 61.39 84.10 141.88 95.67 61.79 53.10 61.85 48.40 19.80 0.00 120.81 113.69 113.10 156.68 80.26 49.12 74.06 98.79 132.96 62.71 41.28 136.03 85.62 158.47 137.97 151.31 131.76 174.55 135.82 176.14 148.26 144.13 93.38 117.77 120.24 190.63 188.69 155.81 158.97 110.82 125.02 100.76 100.76 96.72 96.72 66.40 84.73 125.46 15.26 7.79 130.47 94.14 92.01 124.88 103.65 106.62 96.24 124.88 129.52 147.09 91.21 101.06 119.71 66.16 160.19 90.09 96.98 120.21 119.16 118.07 116.73 115.38 138.29 70.58 117.59 76.46 154.04 162.86
