20
0.00 86.03 54.09 68.45 36.74 35.25 43.85 58.36 78.68 74.25 73.33 75.33 77.70 38.15 44.79 49.29 70.96 74.75 68.98 72.01
86.03 0.00 43.66 33.36 85.07 89.54 56.99 33.23 16.97 20.40 19.17 21.97 25.54 73.93 79.41 61.42 40.71 51.27 49.56 56.23
54.09 43.66 0.00 50.13 71.11 73.67 50.89 38.78 47.10 45.14 43.02 47.52 52.30 62.90 71.11 59.14 58.00 24.07 18.28 24.42
68.45 33.36 50.13 0.00 56.03 61.00 28.49 12.29 17.01 12.96 14.34 11.75 10.75 44.76 48.51 30.15 8.55 69.24 65.00 72.16
36.74 85.07 71.11 56.03 0.00 5.20 28.22 51.87 71.69 66.98 67.20 66.82 66.78 11.31 10.66 26.43 53.89 95.07 89.16 94.37
35.25 89.54 73.67 61.00 5.20 0.00 32.95 56.43 76.48 71.75 71.90 71.66 71.75 16.25 15.57 31.58 59.03 97.46 91.52 96.48
43.85 56.99 50.89 28.49 28.22 32.95 0.00 23.76 43.54 38.80 38.98 38.75 39.14 16.97 22.89 8.50 28.30 74.58 69.02 75.30
58.36 33.23 38.78 12.29 51.87 56.43 23.76 0.00 20.93 16.25 15.85 17.03 19.50 40.71 46.33 28.77 19.34 59.44 54.75 61.79
78.68 16.97 47.10 17.01 71.69 76.48 43.54 20.93 0.00 4.76 5.36 5.26 8.68 60.39 64.92 46.59 23.82 61.29 58.18 65.31
74.25 20.40 45.14 12.96 66.98 71.75 38.80 16.25 4.76 0.00 2.25 2.50 7.50 55.67 60.31 42.02 20.53 60.96 57.46 64.64
73.33 19.17 43.02 14.34 67.20 71.90 38.98 15.85 5.36 2.25 0.00 4.75 9.75 55.92 60.83 42.62 22.26 58.71 55.21 62.40
75.33 21.97 47.52 11.75 66.82 71.66 38.75 17.03 5.26 2.50 4.75 0.00 5.00 55.51 59.83 41.48 18.75 63.46 59.95 67.14
77.70 25.54 52.30 10.75 66.78 71.75 39.14 19.50 8.68 7.50 9.75 5.00 0.00 55.51 59.18 40.84 15.78 68.46 64.94 72.13
38.15 73.93 62.90 44.76 11.31 16.25 16.97 40.71 60.39 55.67 55.92 55.51 55.51 0.00 8.50 15.61 42.94 86.97 81.16 86.81
44.79 79.41 71.11 48.51 10.66 15.57 22.89 46.33 64.92 60.31 60.83 59.83 59.18 8.50 0.00 18.37 45.27 95.16 89.38 95.13
49.29 61.42 59.14 30.15 26.43 31.58 8.50 28.77 46.59 42.02 42.62 41.48 40.84 15.61 18.37 0.00 27.46 82.66 77.18 83.56
70.96 40.71 58.00 8.55 53.89 59.03 28.30 19.34 23.82 20.53 22.26 18.75 15.78 42.94 45.27 27.46 0.00 77.66 73.32 80.46
74.75 51.27 24.07 69.24 95.07 97.46 74.58 59.44 61.29 60.96 58.71 63.46 68.46 86.97 95.16 82.66 77.66 0.00 5.96 5.96
68.98 49.56 18.28 65.00 89.16 91.52 69.02 54.75 58.18 57.46 55.21 59.95 64.94 81.16 89.38 77.18 73.32 5.96 0.00 7.20
72.01 56.23 24.42 72.16 94.37 96.48 75.30 61.79 65.31 64.64 62.40 67.14 72.13 86.81 95.13 83.56 80.46 5.96 7.20 0.00

