10
0.00 82.13 93.38 47.94 53.24 70.51 38.97 40.57 62.19 60.11
82.13 0.00 12.21 36.09 29.99 19.69 46.22 47.82 91.16 84.53
93.38 12.21 0.00 46.27 40.43 26.10 56.29 57.19 102.89 96.23
47.94 36.09 46.27 0.00 6.18 22.62 10.13 12.45 76.88 71.18
53.24 29.99 40.43 6.18 0.00 18.09 16.27 18.50 77.47 71.50
70.51 19.69 26.10 22.62 18.09 0.00 31.85 31.85 93.17 86.90
38.97 46.22 56.29 10.13 16.27 31.85 0.00 5.00 75.54 70.38
40.57 47.82 57.19 12.45 18.50 31.85 5.00 0.00 80.27 75.20
62.19 91.16 102.89 76.88 77.47 93.17 75.54 80.27 0.00 6.70
60.11 84.53 96.23 71.18 71.50 86.90 70.38 75.20 6.70 0.00

