30
0.00 43.54 110.32 101.95 99.15 93.03 191.09 191.33 164.34 151.98 198.02 197.58 60.90 47.24 48.15 41.57 94.11 156.30 107.44 122.26 125.52 81.53 85.79 185.05 193.88 111.38 105.84 102.67 98.15 88.44
43.54 0.00 76.87 70.50 64.35 93.50 171.66 174.98 156.92 136.87 173.58 171.87 82.23 20.19 76.18 17.38 98.74 152.61 105.45 105.72 108.55 68.45 72.01 162.39 168.80 101.65 109.12 100.41 83.92 79.89
110.32 76.87 0.00 9.63 12.75 79.79 103.25 110.31 108.13 78.70 99.84 97.15 106.96 63.63 112.77 69.48 89.36 110.96 81.20 53.51 54.38 50.40 48.89 90.80 94.67 64.76 92.62 78.13 49.13 59.39
101.95 70.50 9.63 0.00 10.80 71.38 105.11 111.04 105.09 77.18 103.89 101.74 97.37 55.83 103.16 61.67 80.88 106.70 73.83 49.60 51.00 41.19 39.96 93.80 98.91 58.42 84.79 70.45 41.55 50.80
99.15 64.35 12.75 10.80 0.00 79.26 114.86 121.26 115.87 87.90 112.34 109.78 101.14 52.06 105.42 57.87 88.55 117.32 82.95 60.35 61.78 47.74 47.30 102.93 107.22 68.37 93.36 79.28 50.77 58.59
93.03 93.50 79.79 71.38 79.26 0.00 108.07 104.56 71.97 66.94 122.20 124.14 46.22 73.85 60.42 76.18 9.65 63.26 14.63 46.13 49.06 32.39 32.02 107.46 119.63 27.11 15.94 10.45 31.59 20.68
191.09 171.66 103.25 105.11 114.86 108.07 0.00 14.25 53.74 41.14 24.80 31.04 154.27 153.20 168.01 158.38 113.62 68.44 95.10 68.83 65.57 109.56 105.31 16.86 27.33 82.51 105.29 97.90 92.96 103.83
191.33 174.98 110.31 111.04 121.26 104.56 14.25 0.00 43.02 39.35 38.87 45.23 150.62 155.89 164.97 160.81 109.07 58.01 90.78 69.85 66.79 110.27 106.08 30.41 41.58 80.63 99.77 94.16 93.54 103.06
164.34 156.92 108.13 105.09 115.87 71.97 53.74 43.02 0.00 32.27 77.00 82.18 115.68 136.79 130.95 140.73 73.75 14.99 57.34 55.63 54.10 88.51 84.91 63.76 77.66 55.30 62.84 61.86 73.32 77.86
151.98 136.87 78.70 77.18 87.90 66.94 41.14 39.35 32.27 0.00 57.35 60.65 113.13 117.41 126.92 122.13 72.71 41.38 54.19 31.15 28.37 71.03 66.87 42.43 55.93 41.64 65.01 56.80 54.32 63.75
198.02 173.58 99.84 103.89 112.34 122.20 24.80 38.87 77.00 57.35 0.00 6.72 167.68 156.57 180.35 162.11 129.00 91.21 110.67 78.36 75.05 117.41 113.21 14.94 5.55 95.33 122.11 112.63 101.68 114.15
