20
0.00 33.93 59.94 121.77 78.81 103.55 55.23 56.80 62.24 47.95 52.73 101.21 117.15 126.31 120.15 96.34 78.67 78.64 76.96 123.52
33.93 0.00 40.88 90.47 72.60 87.42 74.31 67.76 88.35 69.81 80.18 91.80 112.13 123.09 115.76 110.43 88.27 92.54 96.56 95.88
59.94 40.88 0.00 105.80 112.74 123.13 65.92 51.48 86.58 66.36 82.09 52.02 73.73 85.31 77.58 89.11 65.03 73.53 84.03 118.98
121.77 90.47 105.80 0.00 89.95 67.38 162.87 152.85 178.61 159.47 170.63 149.68 172.70 184.68 176.69 193.85 169.96 177.09 184.34 23.97
78.81 72.60 112.74 89.95 0.00 33.12 134.01 133.63 139.32 126.72 129.38 164.31 184.68 195.52 188.28 174.79 155.50 156.88 155.73 76.14
103.55 87.42 123.13 67.38 33.12 0.00 157.30 154.00 165.69 150.88 156.00 174.93 196.86 208.37 200.69 196.42 175.22 178.37 179.61 48.25
55.23 74.31 65.92 162.87 134.01 157.30 0.00 17.06 22.04 8.69 22.23 74.57 80.64 86.10 82.31 41.60 29.60 24.87 22.43 170.12
56.80 67.76 51.48 152.85 133.63 154.00 17.06 0.00 39.07 22.40 38.60 58.26 66.68 73.58 68.82 42.68 21.96 24.83 32.59 162.12
62.24 88.35 86.58 178.61 139.32 165.69 22.04 39.07 0.00 20.34 10.00 95.64 99.33 103.26 100.50 48.28 46.58 37.43 23.91 183.67
47.95 69.81 66.36 159.47 126.72 150.88 8.69 22.40 20.34 0.00 16.71 80.65 88.17 94.10 90.01 49.89 38.04 33.51 29.01 165.64
52.73 80.18 82.09 170.63 129.38 156.00 22.23 38.60 10.00 16.71 0.00 96.68 102.61 107.54 104.13 56.04 50.56 43.01 31.89 174.96
101.21 91.80 52.02 149.68 164.31 174.93 74.57 58.26 95.64 80.65 96.68 0.00 23.05 35.05 27.05 69.74 52.03 63.59 79.92 166.34
117.15 112.13 73.73 172.70 184.68 196.86 80.64 66.68 99.33 88.17 102.61 23.05 0.00 12.00 4.00 62.96 52.79 63.06 79.49 189.36
126.31 123.09 85.31 184.68 195.52 208.37 86.10 73.58 103.26 94.10 107.54 35.05 12.00 0.00 8.00 62.58 56.99 66.04 81.87 201.35
120.15 115.76 77.58 176.69 188.28 200.69 82.31 68.82 100.50 90.01 104.13 27.05 4.00 8.00 0.00 62.58 53.93 63.82 80.09 193.36
96.34 110.43 89.11 193.85 174.79 196.42 41.60 42.68 48.28 49.89 56.04 69.74 62.96 62.58 62.58 0.00 24.08 18.05 24.38 204.27
78.67 88.27 65.03 169.96 155.50 175.22 29.60 21.96 46.58 38.04 50.56 52.03 52.79 56.99 53.93 24.08 0.00 11.60 27.93 180.88
78.64 92.54 73.53 177.09 156.88 178.37 24.87 24.83 37.43 33.51 43.01 63.59 63.06 66.04 63.82 18.05 11.60 0.00 16.60 186.85
76.96 96.56 84.03 184.34 155.73 179.61 22.43 32.59 23.91 29.01 31.89 79.92 79.49 81.87 80.09 24.38 27.93 16.60 0.00 192.25
123.52 95.88 118.98 23.97 76.14 48.25 170.12 162.12 183.67 165.64 174.96 166.34 189.36 201.35 193.36 204.27 180.88 186.85 192.25 0.00

