90
0.00 5.15 8.02 17.68 5.50 6.68 12.42 43.78 59.29 97.75 66.83 72.20 74.23 73.09 73.23 77.52 77.52 76.76 76.42 44.92 45.57 25.41 12.52 28.29 47.57 43.90 58.83 52.45 21.51 42.36 101.94 120.52 119.26 80.20 82.15 75.62 38.50 82.05 88.30 121.95 151.33 116.33 120.08 72.17 33.78 32.88 11.64 13.06 130.08 142.32 117.03 120.00 9.57 19.74 32.96 33.13 46.66 85.07 88.81 30.54 50.02 55.77 110.26 122.01 124.46 127.20 104.79 104.59 50.77 70.13 62.30 125.33 132.26 116.36 138.20 69.97 56.54 51.15 87.24 88.14 77.22 110.90 77.68 85.04 73.18 75.07 89.14 112.15 124.13 116.14
5.15 0.00 5.48 12.56 4.59 2.10 7.42 39.63 55.96 98.15 66.13 70.44 69.71 70.62 71.76 75.64 75.64 75.02 74.86 45.22 40.82 30.41 17.58 32.93 44.13 40.51 56.88 51.45 25.77 38.25 106.00 122.26 120.85 75.33 77.29 70.64 40.00 77.04 83.29 124.42 152.83 120.13 124.23 69.65 33.20 32.04 15.25 16.16 131.96 144.29 121.46 124.06 13.66 24.89 37.53 29.91 46.82 88.57 92.98 34.54 46.03 51.78 114.08 126.01 126.91 129.78 107.18 107.39 50.41 65.05 57.21 127.53 134.95 120.64 140.14 68.54 54.29 52.69 82.12 83.13 72.82 111.65 81.82 89.30 77.47 79.36 93.38 116.35 128.32 120.34
8.02 5.48 0.00 13.76 10.00 7.09 10.00 42.69 59.89 103.63 71.48 75.41 66.52 75.20 76.86 80.55 80.55 80.01 79.93 50.70 38.21 32.74 19.89 36.10 39.57 35.90 61.79 56.74 29.50 34.43 109.94 127.61 126.23 72.96 74.88 68.66 45.37 77.85 84.09 129.52 158.23 124.34 128.05 74.21 38.61 37.40 19.57 20.80 137.27 149.58 124.90 128.00 17.58 26.14 40.81 25.16 52.29 93.05 96.79 38.55 42.05 47.79 118.27 130.02 132.02 134.83 112.32 112.33 55.83 65.51 55.83 132.74 139.95 124.30 145.44 73.66 59.04 58.06 82.28 83.92 69.40 117.13 85.66 93.00 81.12 83.02 97.09 120.11 132.10 124.11
17.68 12.56 13.76 0.00 14.33 11.11 5.41 29.45 47.61 98.42 64.28 65.82 60.29 64.22 67.86 70.63 70.63 70.40 70.69 46.56 30.98 42.37 29.80 44.09 39.14 35.89 52.14 49.32 36.40 31.23 115.15 125.62 123.83 64.51 66.53 59.37 44.38 64.56 70.81 129.53 155.39 128.55 133.55 63.16 33.31 31.62 25.58 25.68 135.57 148.06 131.52 133.14 24.76 37.38 48.47 26.76 47.74 96.46 102.47 44.38 39.08 44.63 122.60 134.95 131.93 135.11 112.21 113.39 49.90 52.50 45.42 131.96 140.55 130.31 143.87 64.80 48.83 56.60 69.56 70.64 63.86 112.67 91.31 99.05 87.38 89.24 103.08 125.83 137.71 129.79
5.50 4.59 10.00 14.33 0.00 4.00 8.94 38.54 53.80 93.74 62.08 66.97 73.34 67.66 68.11 72.25 72.25 71.53 71.26 40.80 44.23 28.08 15.73 29.85 48.51 44.92 53.52 47.53 22.32 42.32 102.10 117.67 116.26 78.43 80.42 73.50 35.42 77.76 84.00 119.88 148.25 116.05 120.40 66.73 29.05 28.00 11.52 12.07 127.37 139.70 117.89 120.15 10.45 23.64 34.31 34.39 42.44 84.35 89.18 30.76 50.16 55.89 110.02 122.07 122.36 125.25 102.63 102.91 46.21 66.12 59.71 122.96 130.45 116.92 135.56 64.86 51.15 48.11 83.36 83.85 76.59 107.17 78.01 85.59 73.81 75.69 89.66 112.56 124.51 116.54
6.68 2.10 7.09 11.11 4.00 0.00 5.76 37.58 53.86 96.67 64.39 68.48 69.39 68.57 69.85 73.66 73.66 73.07 72.94 43.77 40.33 31.40 18.72 33.55 44.59 41.01 54.90 49.66 26.16 38.32 106.09 121.23 119.76 74.66 76.64 69.83 38.98 75.37 81.62 123.68 151.69 120.05 124.37 67.60 31.55 30.32 15.43 16.06 130.97 143.33 121.80 124.14 14.14 26.28 38.08 30.56 45.33 88.35 93.15 34.71 46.16 51.89 114.02 126.06 126.15 129.08 106.41 106.80 48.77 63.48 56.20 126.68 134.30 120.87 139.18 66.64 52.27 51.65 80.61 81.46 72.62 110.28 81.98 89.54 77.75 79.63 93.61 116.53 128.48 120.51
12.42 7.42 10.00 5.41 8.94 5.76 0.00 32.77 49.93 96.83 63.49 66.31 64.96 65.58 68.01 71.32 71.32 70.91 70.99 44.31 35.70 36.97 24.40 38.77 42.02 38.59 52.62 48.57 31.15 34.86 110.37 122.84 121.19 69.63 71.64 64.61 40.97 69.64 75.89 126.10 152.94 124.00 128.74 64.56 31.40 29.90 20.32 20.56 132.70 145.14 126.50 128.39 19.39 32.04 43.19 28.68 45.67 92.05 97.59 39.32 42.76 48.42 118.02 130.25 128.53 131.61 108.79 109.63 48.45 57.72 50.76 128.78 136.95 125.39 140.96 64.87 49.65 53.44 74.85 75.73 68.38 110.79 86.42 94.09 82.37 84.24 98.14 120.97 132.88 124.93
43.78 39.63 42.69 29.45 38.54 37.58 32.77 0.00 19.57 83.73 47.91 43.25 66.11 38.37 46.59 46.92 46.92 47.45 48.61 41.45 41.87 63.27 53.07 62.23 58.82 56.71 31.10 35.19 54.39 49.02 121.97 116.61 114.01 64.04 66.08 57.21 46.79 44.04 49.91 124.66 143.66 132.72 140.33 37.19 31.00 29.18 45.62 44.37 126.83 139.32 140.76 139.14 46.36 61.21 65.40 51.14 41.30 100.49 110.88 59.04 55.16 59.22 127.25 140.45 126.75 130.62 107.85 111.49 39.51 35.60 42.55 125.32 136.56 138.29 135.14 44.20 26.76 55.01 52.35 49.80 70.72 98.87 100.29 108.41 97.86 99.53 112.11 133.33 144.60 137.07
59.29 55.96 59.89 47.61 53.80 53.86 49.93 19.57 0.00 69.96 35.76 26.39 82.50 19.36 30.47 28.91 28.91 29.95 31.68 39.89 60.68 74.33 66.30 71.74 78.24 76.22 18.14 28.06 64.63 68.41 120.83 105.33 102.30 78.20 80.11 71.12 49.13 47.11 51.65 115.77 130.20 129.48 138.62 18.16 35.18 34.13 58.04 56.32 115.46 127.69 140.71 136.95 59.43 74.17 73.92 70.65 38.77 98.33 111.19 66.85 74.26 78.01 124.49 137.90 117.61 121.81 99.83 104.94 34.31 43.77 57.60 115.29 127.93 137.45 123.60 28.91 14.27 53.09 57.37 51.61 87.26 85.13 101.44 109.45 100.12 101.58 112.78 132.29 142.87 135.79
97.75 98.15 103.63 98.42 93.74 96.67 96.83 83.73 69.96 0.00 35.86 44.30 149.79 54.35 39.86 44.19 44.19 42.15 39.66 52.94 123.76 93.00 95.08 86.75 137.10 134.08 53.03 49.94 85.31 128.22 81.54 37.51 33.86 147.31 149.30 140.32 60.28 115.65 119.18 52.60 60.27 81.51 94.31 55.25 65.43 66.95 88.22 86.15 47.05 58.67 101.64 91.28 90.76 99.00 84.79 125.15 51.34 61.75 79.41 79.25 135.57 140.50 78.95 90.92 53.64 58.30 41.79 50.67 48.51 113.70 126.06 49.40 64.38 96.19 54.75 41.05 57.45 48.80 126.28 119.18 154.36 15.21 75.65 80.78 78.76 78.97 81.86 91.20 97.88 93.31
