130
0.00 18.00 34.94 85.17 114.13 69.36 64.91 51.19 12.26 90.34 111.02 92.72 51.92 99.20 126.28 103.51 100.03 107.82 62.51 62.23 74.26 79.08 78.09 91.12 94.74 85.84 106.39 49.27 93.45 89.60 76.15 63.24 98.84 116.73 103.99 48.93 69.39 52.44 56.49 52.44 86.72 96.43 96.29 40.50 40.12 64.44 64.44 92.68 101.92 54.41 58.98 59.49 63.24 60.82 109.98 97.00 76.60 27.92 106.23 114.17 103.40 90.58 112.45 104.20 111.59 86.21 117.67 82.55 115.17 90.64 87.36 83.99 73.84 30.62 101.54 78.77 41.38 47.01 33.70 11.09 9.72 35.40 61.68 80.17 80.13 75.65 83.29 112.11 128.85 77.16 76.60 76.36 91.24 79.14 79.65 78.86 78.90 14.73 13.79 91.87 90.26 72.89 24.10 71.58 38.62 65.44 83.20 78.64 79.24 80.05 80.96 46.64 29.49 36.79 68.09 89.34 83.37 73.61 75.60 75.37 86.43 103.28 108.87 117.47 116.85 75.88 72.01 32.83 54.86 54.12
18.00 0.00 30.00 67.59 101.65 51.36 46.92 33.42 17.26 91.45 106.20 80.32 53.25 100.10 116.71 99.82 101.29 93.67 63.34 66.20 66.09 72.87 75.79 82.50 86.47 70.44 95.47 52.63 90.29 86.31 62.71 46.18 87.72 105.49 100.90 43.54 66.78 50.31 50.83 50.31 72.82 78.50 78.32 42.33 44.14 51.61 51.61 84.27 94.33 37.40 43.79 44.48 49.38 43.65 109.47 79.60 58.75 14.14 91.77 100.57 87.23 72.69 98.62 88.18 96.80 70.34 103.75 65.70 101.70 74.97 70.97 67.51 56.77 18.19 90.60 74.37 34.44 39.20 36.52 14.23 13.98 18.20 43.71 62.18 63.50 57.74 67.44 100.90 116.80 59.62 58.90 58.36 73.25 61.22 61.87 60.86 60.91 8.33 15.04 73.87 79.25 57.54 24.40 72.90 22.30 49.60 66.05 61.61 62.37 63.39 64.54 42.23 24.57 20.79 52.37 74.48 68.46 56.18 58.76 58.46 71.10 104.16 104.55 109.11 103.52 77.78 67.86 33.21 49.26 61.06
34.94 30.00 0.00 67.10 81.20 58.92 57.22 49.26 43.24 62.00 76.97 105.38 82.66 70.50 91.51 70.14 71.80 77.23 34.31 39.46 39.38 102.28 105.79 110.72 59.81 58.83 72.30 26.65 60.44 56.47 87.10 63.83 64.98 82.75 71.06 14.15 36.78 20.42 21.72 20.42 56.48 86.93 86.07 16.62 20.92 34.01 34.01 57.78 66.99 37.64 34.55 34.48 73.99 43.37 79.53 76.80 69.90 42.84 76.21 82.58 105.01 75.10 121.14 106.35 117.62 89.78 126.01 82.38 124.74 94.66 88.86 60.44 53.81 15.73 116.95 104.20 64.24 68.69 14.84 23.97 39.27 41.03 54.89 70.51 57.50 61.96 87.10 78.16 95.36 59.50 60.34 65.12 80.26 71.15 73.58 67.37 69.17 37.05 42.41 80.56 56.46 46.84 11.95 102.48 25.73 41.79 62.63 57.92 57.70 57.51 57.44 72.21 5.69 24.17 43.70 96.01 90.19 55.72 54.32 54.42 91.78 74.53 75.10 82.53 126.71 107.23 97.75 9.76 79.07 88.16
85.17 67.59 67.10 0.00 61.23 20.72 26.72 40.13 83.38 109.11 99.05 80.10 103.83 114.87 86.89 98.73 116.90 45.95 90.08 99.83 62.59 99.65 112.57 97.82 71.82 25.12 65.04 90.33 94.11 91.01 66.12 40.52 59.22 70.43 101.70 66.47 82.08 76.44 66.98 76.44 36.46 27.32 25.56 82.35 87.31 40.96 40.96 69.93 79.59 31.29 33.08 33.46 60.48 24.81 117.32 12.42 26.13 65.09 42.75 54.21 59.07 9.58 83.84 60.99 76.28 53.31 86.98 42.61 88.27 56.84 48.85 14.92 13.41 57.75 93.70 105.98 78.29 77.92 81.93 77.17 80.97 54.47 29.42 19.85 13.72 12.61 52.44 67.22 75.10 8.05 8.94 16.69 20.50 23.52 27.94 15.77 19.62 74.17 80.46 20.06 55.26 25.81 75.26 118.70 47.17 26.28 7.13 10.33 11.64 13.52 15.66 86.48 67.70 49.15 25.41 62.68 59.75 11.75 13.79 13.41 57.77 117.92 99.78 86.57 90.37 123.84 102.18 76.86 87.41 118.75
114.13 101.65 81.20 61.23 0.00 77.61 82.46 90.50 118.73 81.36 52.91 140.73 151.25 82.62 27.06 58.06 84.79 16.14 79.15 90.24 45.62 156.08 166.49 156.86 33.25 38.17 13.76 88.86 59.96 59.26 125.42 97.49 17.73 10.50 61.60 69.88 65.76 73.88 64.02 73.88 30.18 86.41 84.43 87.32 92.09 50.08 50.08 33.40 35.19 70.14 59.35 58.42 117.30 66.82 78.38 56.03 86.60 107.23 19.35 9.76 119.76 68.56 144.95 121.70 137.14 114.39 147.91 103.66 149.40 118.04 110.05 47.57 58.35 84.19 154.39 161.32 126.70 128.40 91.53 103.20 115.07 98.20 83.75 80.85 50.96 71.26 113.33 10.03 15.41 62.65 65.72 76.62 80.61 84.41 88.90 76.42 80.41 109.96 116.69 79.93 25.35 47.77 93.14 169.16 80.47 55.99 55.14 55.65 53.68 51.21 48.66 135.68 85.71 81.50 53.33 123.72 120.40 62.66 55.31 56.04 118.76 83.88 55.46 31.57 151.48 174.35 156.42 88.24 139.18 162.18
69.36 51.36 58.92 20.72 77.61 0.00 6.02 20.26 65.65 110.78 107.65 63.65 83.24 117.67 101.44 105.52 119.53 63.61 87.84 96.13 67.10 79.76 92.12 79.30 81.02 39.46 78.68 84.75 99.17 95.61 47.81 20.36 71.82 85.74 108.08 62.66 82.70 73.07 65.49 73.07 49.11 28.31 27.72 75.39 79.84 43.34 43.34 78.87 89.39 21.74 30.98 31.91 40.49 17.75 122.28 32.81 12.06 46.26 60.60 71.91 49.87 22.24 71.62 51.56 65.51 38.95 75.59 28.70 75.89 43.37 35.74 30.36 19.41 46.06 77.28 85.79 57.75 57.23 73.32 63.00 63.75 35.83 8.96 11.65 26.68 8.14 37.24 81.97 92.37 15.47 12.70 7.00 22.21 12.42 15.70 9.50 10.31 56.82 62.61 22.73 65.95 32.85 64.36 97.99 34.56 27.53 23.81 22.08 24.01 26.44 28.97 65.83 57.83 36.53 28.81 47.80 43.62 14.96 22.39 21.64 42.79 121.14 107.72 99.06 78.01 103.13 81.75 68.24 66.70 98.51
64.91 46.92 57.22 26.72 82.46 6.02 0.00 14.67 60.55 111.48 110.31 59.77 77.23 118.64 105.71 107.70 120.45 68.83 87.58 95.35 69.05 74.25 86.33 74.43 84.04 44.31 82.85 83.51 100.91 97.25 43.24 15.04 75.79 90.28 110.12 62.29 83.33 72.66 65.77 72.66 53.41 31.69 31.42 73.83 78.06 45.33 45.33 81.84 92.49 21.55 32.41 33.43 35.05 19.25 123.85 38.83 12.75 40.87 65.89 77.10 49.05 27.96 69.31 50.62 63.81 36.44 73.54 26.89 73.47 41.10 33.90 35.65 24.12 43.45 73.29 80.13 51.75 51.21 71.26 59.18 58.84 30.62 3.29 15.26 31.78 14.16 34.39 86.39 97.38 21.09 18.49 12.18 26.35 14.56 16.38 14.56 14.00 51.90 57.48 27.01 69.52 36.50 61.66 92.01 32.01 30.21 29.50 27.35 29.20 31.55 34.00 59.81 55.59 33.88 31.92 44.82 40.16 20.01 27.17 26.44 39.87 122.22 110.19 102.81 75.58 97.15 75.97 66.23 60.73 92.56
51.19 33.42 49.26 40.13 90.50 20.26 14.67 0.00 46.06 107.95 111.73 58.45 64.04 115.71 111.71 107.89 117.35 78.29 82.14 88.60 69.46 65.93 76.06 69.05 86.83 53.22 88.83 75.90 100.09 96.23 40.34 14.58 81.33 97.27 109.95 57.25 80.11 67.19 62.16 67.19 60.45 45.38 45.37 65.69 69.36 46.95 46.95 84.55 95.35 21.61 33.94 35.04 28.80 23.69 122.31 52.51 25.44 26.22 75.60 86.34 56.11 42.49 72.22 57.35 68.37 40.52 76.97 33.66 75.99 45.40 39.81 46.17 33.98 33.99 71.21 70.85 38.46 38.83 62.06 46.59 44.55 16.16 11.41 29.57 41.97 28.07 37.84 93.06 105.79 33.30 31.32 26.83 40.66 28.11 28.47 29.23 28.39 37.64 42.98 41.38 74.09 42.81 51.30 80.03 23.72 34.89 41.44 38.23 39.78 41.77 43.89 46.99 46.43 25.12 37.36 47.00 41.35 31.04 36.89 36.28 42.62 119.50 111.14 107.31 78.01 85.23 65.94 57.29 49.16 78.62
12.26 17.26 43.24 83.38 118.73 65.65 60.55 46.06 0.00 101.53 120.19 81.69 40.43 110.35 132.97 113.14 111.29 110.93 73.46 73.94 81.60 66.84 66.04 79.09 102.12 87.63 112.15 60.74 103.25 99.33 65.76 56.27 104.44 122.28 113.85 57.38 79.25 62.30 64.93 62.30 90.06 91.26 91.35 51.45 51.62 68.65 68.65 99.98 109.71 54.13 61.04 61.74 53.29 60.18 120.76 95.61 71.24 20.22 109.03 117.80 94.74 87.63 101.98 95.39 101.71 77.41 107.23 74.92 104.50 81.62 79.11 84.36 73.28 34.69 89.96 66.53 29.45 35.15 44.77 20.09 3.97 29.94 57.26 75.62 80.28 72.71 74.51 117.67 133.80 75.56 74.52 72.54 86.72 74.09 73.95 75.00 74.44 9.35 3.10 87.44 95.91 74.76 33.95 60.26 39.49 66.75 82.43 78.12 79.00 80.16 81.43 34.39 37.55 38.03 69.53 79.68 73.80 72.28 75.43 75.09 77.17 114.44 118.25 124.87 106.10 64.76 59.77 43.13 42.64 45.05
90.34 91.45 62.00 109.11 81.36 110.78 111.48 107.95 101.53 0.00 37.42 166.00 141.96 8.86 71.28 27.89 9.84 89.39 28.19 29.53 46.92 164.20 166.78 172.64 48.29 88.08 67.60 41.20 21.70 22.12 147.70 121.90 65.51 75.04 25.36 50.88 28.15 41.73 45.92 41.73 78.16 135.10 133.65 50.08 50.31 68.64 68.64 48.58 46.98 89.95 79.87 79.01 134.96 93.03 20.93 113.42 122.84 104.79 90.74 89.01 160.45 118.66 179.84 162.06 175.09 147.29 184.40 138.33 183.75 152.11 145.29 96.02 97.00 77.20 178.14 165.81 125.90 130.55 56.77 81.59 97.81 102.62 110.15 120.95 95.64 110.23 144.89 72.32 87.80 104.01 106.26 115.09 127.91 122.90 126.48 116.69 119.77 97.50 101.62 127.81 62.11 83.30 67.96 161.77 84.74 84.62 102.35 98.84 97.48 95.81 94.12 133.49 67.04 83.79 84.50 154.68 149.19 101.00 95.62 96.14 150.05 12.93 33.78 59.01 185.81 166.17 159.25 58.72 140.71 143.73
