50
0.00 51.14 145.54 71.43 62.69 56.92 107.62 117.69 52.32 71.84 35.60 16.83 47.96 70.71 39.39 10.83 38.06 7.29 33.24 67.81 65.19 81.20 74.43 73.23 62.47 2.50 69.93 44.25 32.45 60.34 39.01 32.46 63.01 42.26 4.80 118.65 126.50 51.44 62.14 54.10 51.47 49.02 51.07 54.10 70.96 69.20 67.46 71.31 119.99 93.59
51.14 0.00 95.52 45.74 64.91 62.02 70.31 77.80 79.72 60.03 83.76 61.96 87.33 90.75 86.92 42.43 87.65 56.71 56.41 19.71 30.13 65.96 112.81 110.99 82.48 53.64 23.32 7.72 26.39 61.43 31.63 20.11 14.90 9.11 51.04 68.13 75.52 10.95 43.32 45.50 46.91 48.60 55.36 45.50 68.92 70.08 71.64 68.72 83.84 68.90
145.54 95.52 0.00 90.90 125.30 127.13 62.79 54.08 155.58 108.32 179.25 153.00 170.65 156.40 182.44 135.63 182.95 150.09 149.64 85.02 100.81 104.45 191.35 189.18 151.05 148.03 75.87 101.59 120.87 123.06 112.78 113.09 82.54 103.75 146.11 27.72 23.98 94.18 100.17 110.90 114.81 118.71 124.29 110.90 122.00 125.68 129.85 121.31 64.40 89.64
71.43 45.74 90.90 0.00 34.66 36.23 37.67 48.69 65.06 19.64 106.74 71.49 81.70 65.95 110.64 60.69 108.27 72.76 92.84 58.81 74.92 21.63 100.66 98.46 60.19 73.48 32.28 43.72 65.39 32.22 32.45 45.90 36.31 45.56 74.34 70.27 80.61 34.98 10.39 21.34 25.33 29.32 33.91 21.34 33.00 36.15 39.88 32.43 49.00 24.04
62.69 64.91 125.30 34.66 0.00 5.90 67.67 78.99 33.34 18.01 93.35 54.64 52.63 31.29 97.38 54.30 92.91 60.42 92.89 83.03 94.57 25.80 67.50 65.25 25.90 63.80 61.98 59.15 73.11 3.48 35.18 53.28 62.43 59.79 67.07 104.85 115.14 54.85 27.06 19.72 18.03 17.12 12.01 19.72 8.66 6.56 6.73 9.20 75.66 42.96
56.92 62.02 127.13 36.23 5.90 0.00 71.00 82.35 29.50 21.92 87.45 48.75 48.06 30.84 91.48 48.72 87.05 54.54 87.43 80.66 91.27 30.51 64.61 62.39 24.15 57.98 61.17 55.85 68.51 4.98 31.32 49.08 60.82 56.30 61.33 105.78 115.94 52.39 27.44 18.23 15.50 13.43 7.07 18.23 14.53 12.30 11.05 15.04 79.66 47.30
107.62 70.31 62.79 37.67 67.67 71.00 0.00 11.35 100.50 49.68 143.20 109.01 118.39 97.30 147.00 96.78 145.15 109.67 124.74 74.24 93.31 43.63 135.16 132.92 93.34 109.82 47.81 71.96 95.19 66.27 68.88 78.56 55.96 74.25 110.02 52.00 61.83 62.12 48.04 58.79 62.71 66.64 70.35 58.79 62.48 66.42 70.86 61.74 13.54 27.31
117.69 77.80 54.08 48.69 78.99 82.35 11.35 0.00 111.85 61.00 153.28 119.74 129.71 108.46 157.04 106.86 155.43 120.04 133.27 79.29 98.49 54.72 146.48 144.23 104.63 119.94 54.66 80.26 103.41 77.61 79.25 87.80 63.05 82.60 119.88 47.77 56.74 70.51 59.08 69.93 73.87 77.82 81.65 69.93 73.68 77.63 82.09 72.93 11.53 37.98
52.32 79.72 155.58 65.06 33.34 29.50 100.50 111.85 0.00 51.18 72.59 37.30 20.24 19.41 76.37 49.32 70.27 46.67 85.55 99.41 105.54 59.09 35.82 33.68 13.05 52.09 85.50 72.31 76.45 34.28 48.81 61.73 83.07 71.84 57.09 132.96 142.85 72.43 55.42 44.71 40.88 37.08 31.29 44.71 40.52 36.69 32.42 41.24 108.96 76.30
71.84 60.03 108.32 19.64 18.01 21.92 49.68 61.00 51.18 0.00 105.23 67.28 69.97 48.21 109.25 61.99 105.62 71.17 98.58 75.77 90.12 9.50 85.48 83.23 43.70 73.42 50.99 56.00 74.51 16.97 36.46 53.97 53.61 57.30 75.65 89.24 99.66 49.14 16.78 18.34 20.40 22.98 23.38 18.34 13.77 17.37 21.58 13.12 57.80 25.41
35.60 83.76 179.25 106.74 93.35 87.45 143.20 153.28 72.59 105.23 0.00 38.72 58.27 91.93 4.04 46.43 6.27 34.23 38.77 97.55 89.57 114.72 78.93 78.71 85.22 33.38 104.44 77.76 59.80 91.65 74.45 67.01 97.01 75.54 33.71 151.89 159.03 85.96 97.15 88.33 85.26 82.27 82.80 88.33 101.98 99.50 96.82 102.46 155.49 128.23
