110
0.00 72.80 10.91 73.61 75.58 57.54 71.24 61.96 58.20 45.76 37.63 5.92 39.96 98.39 70.93 38.74 45.41 48.25 43.33 64.31 45.59 20.64 119.76 127.76 81.77 79.95 61.80 55.79 42.51 29.93 41.69 38.22 56.59 29.82 38.49 116.17 71.08 62.08 76.02 51.13 68.74 62.60 61.00 61.26 70.44 72.79 55.52 78.80 53.56 65.88 10.30 40.63 66.34 75.79 82.90 7.36 139.94 139.95 136.85 37.45 39.54 58.71 101.93 76.45 22.32 151.44 164.69 156.83 160.76 56.59 62.63 60.91 58.58 59.26 154.77 162.20 170.73 167.45 47.69 86.21 98.98 74.18 96.18 140.35 146.75 100.82 58.65 76.10 158.85 174.42 163.58 167.30 145.29 145.68 65.19 47.52 17.29 150.01 162.14 154.93 158.58 64.61 50.51 89.21 63.62 56.98 66.86 130.11 127.94 141.67
72.80 0.00 76.64 1.75 31.39 38.22 108.12 99.55 95.63 41.68 58.14 78.71 40.49 103.58 79.42 73.84 69.33 73.18 113.87 120.56 109.75 92.06 167.17 174.55 85.42 82.32 73.02 70.31 72.10 99.62 108.59 82.19 65.43 99.46 106.03 137.15 117.66 124.51 3.22 114.25 132.66 102.65 105.22 115.55 103.04 105.48 29.38 95.71 119.06 115.89 64.85 36.98 89.42 95.36 93.01 65.52 184.12 185.53 183.95 59.62 70.50 14.96 102.32 23.81 82.43 202.32 198.36 190.49 194.43 88.61 93.28 91.41 88.86 89.61 185.16 208.54 187.47 191.47 100.75 86.46 103.86 39.60 99.86 155.27 160.27 102.17 22.49 18.05 181.39 193.31 185.30 189.30 166.74 170.60 114.86 30.60 60.25 193.37 203.58 204.36 206.75 124.61 96.26 114.98 11.96 20.16 11.23 151.63 149.24 156.21
10.91 76.64 0.00 77.66 74.90 55.77 60.49 51.32 47.65 54.43 47.98 10.80 39.79 89.54 62.90 29.85 37.61 39.88 37.25 53.92 36.32 24.52 109.10 117.09 73.72 72.15 54.11 48.22 34.09 23.04 33.33 27.94 49.87 22.89 30.36 105.76 60.19 52.69 79.83 41.70 59.83 51.82 50.11 50.64 59.94 62.24 55.66 69.40 44.90 55.06 20.16 41.58 56.81 66.23 74.06 15.52 129.19 129.26 126.23 47.92 50.45 63.45 93.47 76.94 31.92 141.14 153.77 145.91 149.84 46.58 52.49 50.86 48.66 49.30 143.88 151.61 160.21 156.67 36.83 78.35 90.15 72.21 87.55 130.08 136.53 92.30 59.89 77.44 148.14 163.80 152.88 156.59 134.67 134.93 54.35 48.71 26.99 139.25 151.34 144.52 148.10 54.76 39.66 78.82 66.42 59.03 72.07 119.57 117.42 131.42
73.61 1.75 77.66 0.00 33.04 39.94 109.74 101.14 97.22 41.47 58.05 79.53 41.89 105.33 81.16 75.33 70.91 74.78 114.90 121.97 110.98 92.73 168.77 176.17 87.17 84.07 74.73 71.98 73.64 100.66 109.75 83.63 67.12 100.50 107.16 138.90 119.21 125.82 2.86 115.52 133.95 104.23 106.76 116.99 104.69 107.13 31.04 97.44 120.28 117.39 65.52 38.31 91.11 97.08 94.76 66.31 185.77 187.16 185.57 59.54 70.37 15.35 104.06 25.39 82.82 203.91 200.08 192.21 196.15 90.23 94.92 93.05 90.48 91.24 186.90 210.18 189.21 193.22 102.16 88.21 105.61 41.30 101.61 157.02 162.01 103.91 24.15 19.57 183.13 195.06 187.05 191.05 168.49 172.35 116.36 32.04 60.78 195.03 205.26 205.96 208.37 125.97 97.76 116.69 13.56 21.69 10.55 153.38 150.98 157.96
75.58 31.39 74.90 33.04 0.00 19.79 87.35 80.22 76.90 62.95 76.37 81.00 35.64 74.29 53.56 59.95 52.42 55.20 109.51 106.36 100.93 96.22 146.11 152.98 57.28 54.22 49.58 49.00 56.53 95.76 101.65 69.19 43.53 95.57 99.81 109.48 99.50 113.23 31.99 104.33 121.67 83.78 87.61 100.95 81.39 83.56 20.31 69.96 110.17 99.34 71.20 35.28 66.59 70.47 65.69 69.49 161.28 163.14 162.18 77.73 88.38 37.13 72.25 8.25 92.07 181.52 171.94 164.25 168.09 69.18 72.44 70.86 68.71 69.34 158.21 185.81 157.76 162.98 87.55 57.40 74.49 9.12 70.50 125.84 130.51 72.27 19.88 14.08 152.78 163.86 156.47 160.45 138.23 142.73 98.28 29.12 69.43 169.98 179.30 182.91 184.76 111.96 80.72 89.88 24.64 23.96 40.34 123.55 121.19 126.69
57.54 38.22 55.77 39.94 19.79 0.00 70.96 62.99 59.35 55.14 65.32 62.65 18.30 67.00 41.36 40.57 33.72 36.99 89.78 87.47 81.20 78.04 130.15 137.33 48.23 45.17 34.84 32.52 37.49 76.11 81.87 49.76 27.41 75.92 80.03 99.25 81.89 93.80 40.32 84.70 102.23 66.36 69.68 82.13 65.50 67.86 9.93 57.53 90.47 81.11 54.58 19.74 51.44 57.15 55.25 52.08 146.46 148.02 146.67 66.52 76.40 35.77 66.75 24.34 75.87 165.49 160.15 152.28 156.21 51.88 55.97 54.20 51.79 52.49 147.01 170.96 150.64 153.76 68.32 50.02 67.35 16.65 63.42 118.32 123.62 66.36 16.25 27.57 143.75 156.22 147.78 151.78 129.09 132.68 80.05 16.60 54.12 155.57 165.57 167.25 169.43 92.76 62.01 76.77 26.83 20.17 42.68 113.83 111.43 119.33
71.24 108.12 60.49 109.74 87.35 70.96 0.00 9.68 13.86 106.25 105.47 70.70 70.03 44.77 37.05 37.77 39.18 35.11 61.65 30.90 44.64 79.59 59.19 66.46 41.49 42.84 37.96 38.58 37.47 57.61 50.59 33.68 43.96 57.47 52.05 46.38 15.41 43.55 110.60 42.71 50.11 8.72 12.38 26.63 6.60 5.78 78.80 25.99 48.70 19.79 78.77 74.29 21.42 22.77 34.32 73.55 76.19 77.45 75.84 105.78 110.23 101.08 51.27 94.17 91.93 94.54 95.16 87.17 91.17 19.63 15.01 16.77 19.27 18.52 84.16 100.49 100.09 96.21 27.76 45.78 45.38 79.29 45.25 71.18 77.75 49.77 85.67 98.27 87.65 103.42 92.41 96.10 74.32 74.44 19.11 78.78 84.51 85.68 96.54 96.33 98.64 38.86 21.11 20.75 96.19 88.19 109.67 59.46 57.42 72.57
61.96 99.55 51.32 101.14 80.22 62.99 9.68 0.00 4.21 96.60 95.83 61.71 60.86 47.20 33.12 28.17 30.27 26.37 56.30 30.73 39.69 71.36 67.64 75.11 39.84 40.51 31.81 31.24 28.14 50.51 45.07 24.11 36.72 50.35 46.03 54.69 19.39 42.14 102.11 38.90 49.66 3.76 9.10 25.55 9.12 11.09 70.37 26.39 45.33 20.77 69.26 65.09 17.37 22.69 34.32 64.04 85.28 86.38 84.54 96.16 100.75 92.00 53.18 86.68 82.99 102.78 104.84 96.85 100.84 11.11 8.90 9.83 11.56 11.01 93.81 109.43 108.93 105.61 21.40 44.59 47.84 72.56 46.90 79.30 85.83 51.72 77.19 90.50 96.90 112.49 101.62 105.36 83.35 83.79 19.79 69.83 74.92 94.89 105.93 104.83 107.34 38.32 12.95 28.03 87.59 79.50 100.67 68.27 66.15 80.68
58.20 95.63 47.65 97.22 76.90 59.35 13.86 4.21 0.00 92.40 91.74 58.15 56.76 48.28 31.61 23.96 26.31 22.52 54.89 32.14 38.67 68.27 71.62 79.15 39.26 39.61 29.23 28.05 24.02 48.17 43.66 20.14 33.53 48.01 44.35 58.14 22.61 42.79 98.23 38.47 50.62 7.03 11.00 26.76 12.31 14.60 66.53 27.09 45.02 23.01 65.30 60.97 16.50 23.36 34.59 60.08 89.41 90.47 88.58 92.09 96.81 87.91 53.98 83.20 79.44 106.69 109.02 101.03 105.02 7.80 8.05 8.08 8.90 8.58 97.92 113.53 112.56 109.55 20.06 44.14 48.93 69.42 47.66 82.62 89.12 52.54 73.33 86.90 100.76 116.23 105.46 109.22 87.10 87.71 21.97 65.80 70.88 99.05 110.12 108.81 111.37 39.40 10.78 31.29 83.67 75.55 96.61 71.92 69.77 83.98
45.76 41.68 54.43 41.47 62.95 55.14 106.25 96.60 92.40 0.00 16.92 50.90 41.40 118.54 90.22 68.53 69.42 73.61 88.85 107.52 90.73 59.88 161.13 169.04 99.57 96.79 81.27 76.13 69.57 75.69 87.32 73.50 73.46 75.59 84.17 145.67 110.67 107.12 44.33 96.13 114.17 98.55 98.90 103.62 103.20 105.79 46.37 103.83 99.10 106.71 35.51 37.63 93.51 102.01 104.52 39.13 180.45 180.98 178.38 18.38 29.00 27.83 119.64 58.71 45.79 194.41 201.35 193.35 197.35 87.63 93.61 91.62 88.88 89.69 189.82 203.78 199.68 199.83 88.81 102.51 119.00 67.31 115.32 167.63 173.51 119.00 43.49 54.89 190.36 204.49 194.80 198.72 175.96 178.02 105.84 38.55 28.66 190.36 201.92 197.47 200.75 109.05 88.31 119.79 39.71 39.10 31.26 160.37 158.02 168.80
